[[386, 105], [471, 165], [518, 250], [504, 351], [444, 431], [360, 477], [262, 467], [187, 405], [141, 325], [151, 224], [206, 146], [292, 100]]
[[394, 105], [473, 165], [516, 255], [502, 350], [442, 428], [355, 472], [259, 465], [183, 398], [143, 314], [154, 217], [210, 139], [297, 97]]
[[401, 106], [478, 170], [516, 258], [500, 356], [435, 430], [346, 468], [253, 459], [183, 384], [143, 310], [154, 214], [215, 137], [306, 95]]
[[405, 112], [480, 178], [513, 267], [490, 365], [428, 437], [339, 473], [247, 450], [173, 388], [139, 301], [157, 207], [220, 133], [310, 99]]
[[411, 121], [481, 189], [512, 277], [499, 375], [425, 447], [333, 478], [245, 455], [175, 387], [139, 301], [163, 207], [227, 132], [315, 101]]
[[415, 126], [483, 195], [515, 285], [490, 384], [424, 454], [335, 488], [239, 459], [171, 391], [137, 305], [161, 210], [227, 135], [318, 101]]
[[420, 124], [488, 196], [515, 290], [488, 387], [415, 452], [328, 481], [231, 456], [172, 385], [140, 303], [161, 203], [231, 133], [322, 103]]
[[425, 126], [488, 202], [516, 293], [485, 384], [415, 453], [318, 479], [226, 450], [167, 379], [139, 290], [169, 196], [232, 128], [329, 106]]
[[430, 126], [494, 204], [515, 294], [482, 390], [409, 452], [314, 473], [222, 442], [163, 366], [136, 275], [172, 184], [246, 119], [334, 99]]
[[437, 126], [499, 209], [512, 304], [477, 392], [400, 450], [305, 468], [213, 432], [155, 358], [137, 259], [175, 173], [248, 111], [345, 95]]
[[442, 132], [497, 217], [509, 309], [468, 398], [389, 456], [291, 465], [201, 427], [148, 346], [139, 256], [178, 167], [255, 111], [347, 94]]
[[441, 134], [495, 219], [501, 314], [459, 408], [378, 458], [280, 463], [191, 418], [142, 346], [132, 246], [171, 160], [256, 106], [346, 98]]
[[443, 140], [494, 225], [498, 317], [451, 410], [366, 457], [268, 461], [187, 416], [142, 331], [131, 241], [174, 157], [260, 103], [352, 98]]
[[441, 139], [490, 226], [493, 319], [443, 405], [362, 452], [261, 454], [180, 402], [132, 323], [130, 229], [175, 147], [259, 98], [357, 92]]
[[447, 139], [491, 228], [497, 325], [447, 404], [359, 450], [261, 450], [178, 399], [138, 317], [129, 230], [183, 139], [263, 93], [361, 90]]
[[453, 147], [495, 240], [498, 333], [432, 411], [352, 464], [257, 452], [176, 398], [129, 311], [134, 217], [186, 134], [271, 91], [372, 98]]
[[460, 156], [499, 245], [485, 341], [431, 422], [343, 462], [246, 446], [167, 392], [134, 304], [138, 213], [196, 133], [279, 93], [378, 101]]
[[466, 166], [498, 259], [481, 356], [422, 432], [329, 460], [235, 447], [161, 385], [135, 292], [144, 198], [205, 123], [292, 92], [388, 103]]
[[476, 177], [502, 266], [484, 363], [416, 431], [327, 460], [233, 439], [160, 375], [131, 282], [150, 190], [211, 115], [309, 91], [400, 107]]
[[485, 183], [505, 272], [483, 367], [418, 438], [322, 458], [232, 433], [161, 364], [139, 273], [157, 181], [221, 112], [317, 87], [409, 111]]
[[486, 176], [509, 270], [485, 362], [422, 435], [327, 458], [235, 431], [164, 365], [138, 276], [162, 181], [226, 107], [321, 87], [414, 104]]
[[487, 177], [511, 270], [483, 363], [418, 433], [326, 461], [230, 431], [159, 364], [140, 273], [157, 176], [227, 105], [323, 85], [416, 110]]
[[486, 185], [510, 274], [487, 369], [416, 440], [325, 455], [227, 428], [160, 363], [140, 269], [163, 176], [231, 108], [321, 87], [419, 110]]
[[488, 178], [512, 276], [482, 364], [411, 442], [315, 453], [223, 419], [154, 355], [141, 262], [163, 166], [232, 102], [330, 82], [420, 109]]
[[487, 183], [503, 278], [469, 369], [396, 437], [300, 448], [209, 416], [145, 341], [134, 249], [162, 154], [232, 93], [329, 79], [420, 109]]
[[484, 190], [491, 284], [454, 374], [374, 434], [283, 442], [192, 399], [136, 329], [128, 237], [157, 149], [233, 93], [326, 83], [416, 111]]
[[472, 196], [476, 296], [437, 379], [360, 438], [266, 436], [174, 395], [114, 326], [120, 228], [154, 143], [231, 83], [330, 78], [417, 113]]
[[472, 206], [470, 302], [428, 388], [345, 444], [249, 442], [165, 391], [110, 318], [100, 230], [149, 134], [230, 82], [325, 76], [411, 123]]
[[463, 200], [463, 301], [417, 385], [335, 437], [241, 433], [153, 387], [101, 305], [103, 212], [146, 126], [226, 70], [326, 70], [409, 117]]
